"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
NinhThuan,2017/07/14,897842,17405,28724,32560,79152,07113,59137,52595,75298,33874,06551,14219,3456,3792,1146,8352,823,43
NinhThuan,2017/07/07,650366,14661,03141,52847,94809,51360,17531,64608,72787,13928,36387,28550,6803,7710,2152,4378,595,56
NinhThuan,2017/06/30,054825,06690,51205,07311,35553,66479,69085,17271,71574,53363,47562,63610,5314,1854,6061,8101,766,25
NinhThuan,2017/06/23,565488,36863,07403,31912,01308,07103,03153,14615,42156,89090,84038,84038,9666,7645,3186,7665,944,85
NinhThuan,2017/06/16,737983,74214,04837,01706,40820,50215,58889,15789,55080,76902,10838,05060,3690,0676,0127,2460,356,41
NinhThuan,2017/06/09,754769,20644,52640,55744,60921,80325,46350,21032,92900,89019,46272,88845,5436,8630,3631,2315,928,03
NinhThuan,2017/06/02,213839,82031,76054,12264,73887,69886,76981,26633,18517,55748,23868,19033,1962,8603,4472,4746,403,85
NinhThuan,2017/05/19,762471,45898,31829,24752,17384,98953,11526,45132,58937,88252,56036,36751,3858,2511,8638,1563,596,65
NinhThuan,2017/05/12,539810,58237,81259,77302,46638,87262,53750,53643,30010,53661,27096,26414,3192,3352,8811,1712,672,93
NinhThuan,2017/05/05,094332,92477,58844,62149,73330,78560,26212,57682,78810,15136,24747,85118,7674,8765,9174,8423,412,52
NinhThuan,2017/04/28,555461,77772,81250,94881,08674,66392,87143,31353,07111,88705,35464,88521,1075,0292,1086,6884,194,83
NinhThuan,2017/04/21,288805,95215,68486,22723,33672,95170,29136,71361,12569,20511,98392,98779,8476,4667,9582,2028,566,16
NinhThuan,2017/04/14,023241,20206,97025,96083,76768,11254,28398,97973,74783,21173,85377,37466,9826,8708,8344,3607,737,27
NinhThuan,2017/04/07,518341,15132,20740,72774,02583,09946,07345,16958,36853,05272,04620,57988,9477,0467,8867,9311,305,33
NinhThuan,2017/03/31,16719,12051,44849,04741,10743,35426,96407,45507,56231,29087,26328,77542,4396,4375,0048,7732,455,68
NinhThuan,2017/03/24,77137,48339,06213,85600,64458,57532,12328,14971,68328,71990,19638,05796,7347,1575,1287,4934,740,37
NinhThuan,2017/03/17,80703,50609,83782,07805,88089,30228,10501,35925,88638,58935,43813,07098,4782,1633,2394,3479,381,83
NinhThuan,2017/03/10,63579,97283,51502,35529,10369,33433,84962,67496,51984,90117,26894,11866,4655,0411,3082,5012,700,50
NinhThuan,2017/03/03,53931,72461,30955,73225,54953,17430,82357,11123,49353,24383,79590,04242,2022,9606,6555,2628,084,90
NinhThuan,2017/02/24,29824,08166,87067,61974,69450,72998,29748,67334,13995,82309,51402,97678,0404,0849,2919,6207,284,36
NinhThuan,2017/02/17,86895,35536,56587,48944,23281,07174,03081,11037,81204,62897,37572,97084,1598,6531,9965,9406,389,18
NinhThuan,2017/02/10,71819,88407,26026,51163,32815,85717,59747,80921,44008,62086,79682,16823,6118,8751,3290,0989,648,44
NinhThuan,2017/02/03,50530,66494,05759,87215,67385,36356,99819,64416,51035,37727,03559,77768,9659,7207,3143,1936,803,36
NinhThuan,2017/01/27,46748,25894,09998,00518,91763,14239,25926,99971,51916,69694,97878,71403,9041,4874,7082,7646,742,04
NinhThuan,2017/01/20,28427,44879,74163,31156,93009,96334,41242,10135,41386,18009,23953,44389,2303,1167,6050,7416,507,52
NinhThuan,2017/01/13,00953,42443,25457,81939,35636,80272,08248,90241,26371,39904,31203,62902,9896,7050,5891,3517,118,58
NinhThuan,2017/01/06,90636,07715,96835,42157,91088,46081,90067,08098,86714,30944,46277,93836,8904,5549,3303,5699,299,82
NinhThuan,2016/12/30,27199,63642,20957,40990,45859,84601,72348,98203,92047,68149,44703,14000,8693,6794,5611,5195,957,28
NinhThuan,2016/12/23,09509,97825,90369,24376,01021,04164,32201,09707,46372,23971,50542,59627,3069,0633,7432,9370,894,21
NinhThuan,2016/12/16,37001,05977,72230,83260,78202,65517,92947,79778,53814,21746,01970,31930,1971,1400,8972,7680,758,33
NinhThuan,2016/12/09,73077,85303,19113,67197,16307,96217,40939,77520,45403,00131,19789,54233,3256,2453,7302,8503,841,26
NinhThuan,2016/12/02,37471,01303,69210,81167,92937,33045,43719,57303,70651,95665,89320,50537,2134,0775,9129,3116,315,12
NinhThuan,2016/11/25,12589,68953,20270,04876,02278,15188,72543,66444,24238,06903,04278,63565,8751,4981,3100,3174,335,35
NinhThuan,2016/11/18,64027,73637,40129,65488,77854,53791,73068,16826,45089,09662,45987,02616,8281,1478,3938,0163,996,36
NinhThuan,2016/11/11,29899,95350,13139,90917,14280,07512,18815,00112,02001,05016,84265,66664,4854,7917,7019,7310,759,39
NinhThuan,2016/11/04,79083,78489,53210,34615,94952,24781,00872,85689,65259,55994,18050,24212,1268,0010,5053,4826,070,25
NinhThuan,2016/10/28,45008,67267,50749,32157,65827,09466,81941,27980,88212,22975,00898,15795,3179,5288,0743,8575,249,81
NinhThuan,2016/10/21,80223,99819,97256,24675,67453,57851,52265,46908,47820,85091,17640,54192,7226,2979,0046,0580,778,70
NinhThuan,2016/10/14,91757,42296,29767,65338,98856,32530,74210,80280,33594,52535,93051,68017,9803,6643,3222,7477,665,85
NinhThuan,2016/10/07,06689,24895,58672,87764,92017,81922,23155,30314,47947,10889,53172,12998,0082,0787,0279,1624,312,72
NinhThuan,2016/09/30,86221,33831,43867,79112,15266,63461,57009,25379,24959,99211,38804,48978,1080,2833,1226,3271,114,72
NinhThuan,2016/09/23,83131,34730,14636,98149,81152,64731,90460,29919,73871,67279,69678,67298,7779,1352,3664,9644,076,20
NinhThuan,2016/09/16,61429,84884,40881,07164,34898,81226,84539,80762,37536,09144,82853,93105,0923,2191,2286,4249,969,99
NinhThuan,2016/09/09,88966,51922,93305,26698,78467,75882,38978,43121,82116,04435,00462,84836,9246,7091,2733,1751,979,88
NinhThuan,2016/09/02,03988,38799,25788,84008,40667,07771,64071,57961,58250,07262,57110,04398,9391,9678,8249,2962,015,63
NinhThuan,2016/08/26,37530,75054,93394,48316,37410,59222,75416,76949,83448,19818,49270,96718,0868,9619,2714,7816,251,20
NinhThuan,2016/08/19,23563,24872,37231,12745,15761,18002,25762,41785,05764,16943,32384,20126,7846,0443,2478,0582,172,09
NinhThuan,2016/08/12,23811,56531,29141,18052,97196,40879,72397,45731,48660,29209,91439,13407,9404,2105,5305,9800,354,02
NinhThuan,2016/08/05,75607,71542,72470,85920,03269,97138,96232,13224,65542,38209,12025,48399,7047,8604,2794,3803,888,20
NinhThuan,2016/07/29,46086,19899,29645,70588,72224,99776,97080,79652,87167,26165,83809,76167,2040,3970,9243,4069,644,15
NinhThuan,2016/07/22,50488,26743,59734,31621,46572,23820,63721,58724,73979,27251,17170,42931,9911,6924,1464,6579,309,61
NinhThuan,2016/07/15,57732,96631,84823,09354,33925,41954,89100,04439,53242,38553,56800,57002,9319,6489,0382,7696,554,29
NinhThuan,2016/07/08,99244,30428,00620,23917,59007,39834,04964,47227,32083,32744,57828,78485,4220,3502,1343,0276,628,47
NinhThuan,2016/07/01,00119,71128,05561,33339,65748,61919,43137,84502,57037,72200,63637,82093,1445,2822,1658,5502,902,62
NinhThuan,2016/06/17,67032,03476,17874,17492,96615,81889,51829,78155,67130,53268,08855,62728,3107,1162,0875,5540,889,84
NinhThuan,2016/06/03,73053,28108,95057,36518,89712,01884,47172,49999,66437,03051,28898,15573,9401,5663,2576,7663,149,11
NinhThuan,2016/05/27,36388,16563,80771,87242,49209,33861,90573,64348,82136,55742,97019,29728,0578,9948,0358,4280,953,01
